Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2023-09-22 00:00:00.0;16.94236;89;1010.262;4.49436
2023-09-23 00:00:00.0;13.3875;95;1008.278;3.65208
2023-09-24 00:00:00.0;16.02014;74;1010.885;9.43014
2023-09-25 00:00:00.0;14.92777;63;1010.874;11.55792
2023-09-26 00:00:00.0;14.87708;74;1012.138;11.03124
2023-09-27 00:00:00.0;13.70347;65;1015.297;16.85731
2023-09-28 00:00:00.0;15.8875;63;1014.499;17.30826
2023-09-29 00:00:00.0;15.8125;65;1017.963;16.3428
2023-09-30 00:00:00.0;12.60695;64;1017.875;17.3967
2023-10-01 00:00:00.0;13.73889;54;1013.057;18.0168
2023-10-02 00:00:00.0;15.50486;61;1008.15;17.11116
2023-10-03 00:00:00.0;15.64722;81;1006.24;9.600599
2023-10-04 00:00:00.0;15.04514;69;1008.818;13.94772
2023-10-05 00:00:00.0;15.96736;47;1004.259;18.30702
2023-10-06 00:00:00.0;18.57292;50;1007.451;18.10506
2023-10-07 00:00:00.0;17.79514;45;1014.486;18.94464
2023-10-08 00:00:00.0;19.09098;44;1012.515;18.48144
2023-10-09 00:00:00.0;22.45556;41;1010.551;18.22368
2023-10-10 00:00:00.0;23.10694;56;1004.289;16.3224
2023-10-11 00:00:00.0;14.40416;72;1015.642;11.19078
2023-10-12 00:00:00.0;10.55833;60;1019.674;19.65612
2023-10-13 00:00:00.0;13.01736;64;1019.407;19.80714
2023-10-14 00:00:00.0;15.93541;60;1016.257;19.49106
2023-10-15 00:00:00.0;18.26041;65;1010.868;18.37092
2023-10-16 00:00:00.0;22.36528;69;1006.118;17.79552
2023-10-17 00:00:00.0;16.78125;56;1017.04;20.0727
2023-10-18 00:00:00.0;14.43194;63;1017.831;15.62556
2023-10-19 00:00:00.0;17.93402;68;1015.244;17.70792
2023-10-20 00:00:00.0;19.91806;70;1011.626;19.16202
2023-10-21 00:00:00.0;21.50209;77;1007.994;3.39492
2023-10-22 00:00:00.0;23.12431;82;1006.095;11.9925
2023-10-23 00:00:00.0;19.55695;95;1008.87;1.8906
2023-10-24 00:00:00.0;16.91389;90;1012.473;7.91376
2023-10-25 00:00:00.0;16.20208;71;1010.866;20.02974
2023-10-26 00:00:00.0;17.44028;63;1005.929;20.14068
2023-10-27 00:00:00.0;20.97084;62;1001.183;18.56352
2023-10-28 00:00:00.0;22.03958;66;998.0283;21.0324
2023-10-29 00:00:00.0;22.87778;82;997.1348;12.14112
2023-10-30 00:00:00.0;16.99652;76;1009.693;13.94148
2023-10-31 00:00:00.0;12.66041;91;1015.699;2.32302
2023-11-01 00:00:00.0;12.5257;85;1014.743;3.8391
2023-11-02 00:00:00.0;13.01806;99;1008.141;1.6605
2023-11-03 00:00:00.0;11.2625;92;1009.464;6.63558
2023-11-04 00:00:00.0;15.7882;71;1011.421;22.25028
2023-11-05 00:00:00.0;18.9618;65;1010.671;20.99837
2023-11-06 00:00:00.0;20.92014;63;1009.81;22.73334
2023-11-07 00:00:00.0;24.9243;65;1002.698;19.13952
2023-11-08 00:00:00.0;22.58403;52;1008.627;20.07167
2023-11-09 00:00:00.0;19.8882;56;1010.734;22.38612
2023-11-10 00:00:00.0;16.93264;90;1001.578;0.22164
2023-11-11 00:00:00.0;20.71875;81;998.5702;21.57246
2023-11-12 00:00:00.0;20.33749;68;1004.557;21.52554
2023-11-13 00:00:00.0;17.97153;68;1007.734;18.55931
2023-11-14 00:00:00.0;18.53959;64;1006.216;23.40234
2023-11-15 00:00:00.0;22.72083;73;1000.357;20.49535
2023-11-16 00:00:00.0;22.00556;47;1002.084;23.05326
2023-11-17 00:00:00.0;20.35764;73;995.8012;12.57714
2023-11-18 00:00:00.0;18.56458;54;1004.006;20.71752
2023-11-19 00:00:00.0;20.67639;52;1009.609;22.5642
2023-11-20 00:00:00.0;24.23194;52;1004.18;19.91322
2023-11-21 00:00:00.0;24.22083;66;1002.61;18.19482
2023-11-22 00:00:00.0;20.31874;72;1007.562;23.81532
2023-11-23 00:00:00.0;22.59374;62;1014.193;14.07354
2023-11-24 00:00:00.0;21.26805;57;1018.636;23.96352
2023-11-25 00:00:00.0;22.5618;59;1013.332;22.35606
2023-11-26 00:00:00.0;24.08055;59;1009.017;24.10548
2023-11-27 00:00:00.0;26.34375;59;1008.494;23.70462
2023-11-28 00:00:00.0;27.23958;64;1005.25;20.42112
2023-11-29 00:00:00.0;25.00629;73;1005.846;8.573041
2023-11-30 00:00:00.0;24.29444;63;1005.293;19.90266
2023-12-01 00:00:00.0;23.81875;90;1000.585;3.82416
2023-12-02 00:00:00.0;22.6868;79;1004.425;21.71598
2023-12-03 00:00:00.0;17.625;68;1013.762;6.2046
2023-12-04 00:00:00.0;16.43541;59;1017.522;11.36184
2023-12-05 00:00:00.0;17.86806;84;1010.895;4.32786
2023-12-06 00:00:00.0;20.68055;96;1005.454;4.553279
2023-12-07 00:00:00.0;21.60139;80;1010.431;18.684
2023-12-08 00:00:00.0;21.16111;69;1014.949;24.13368
2023-12-09 00:00:00.0;21.31806;67;1012.352;14.86668
2023-12-10 00:00:00.0;22.01598;66;1011.03;23.45922
2023-12-11 00:00:00.0;24.66736;60;1006.806;24.37404
2023-12-12 00:00:00.0;27.72708;58;1004.716;23.69604
2023-12-13 00:00:00.0;26.0889;80;1002.169;13.683
2023-12-14 00:00:00.0;25.58334;78;1002.036;12.46686
2023-12-15 00:00:00.0;25.96042;85;1002.83;10.94214
2023-12-16 00:00:00.0;26.36389;79;1001.006;13.11558
2023-12-17 00:00:00.0;22.46042;96;1003.715;1.9671
2023-12-18 00:00:00.0;19.03889;97;1009.509;0.20862
2023-12-19 00:00:00.0;17.60903;75;1014.778;16.353
2023-12-20 00:00:00.0;19.84306;77;1012.007;19.48836
2023-12-21 00:00:00.0;23.02084;78;1009.809;19.58814
2023-12-22 00:00:00.0;24.14584;68;1007.865;23.18904
2023-12-23 00:00:00.0;25.75416;67;1006.683;22.27632
2023-12-24 00:00:00.0;24.25278;79;1006.285;13.22742
2023-12-25 00:00:00.0;22.53889;72;1010.336;23.70312
2023-12-26 00:00:00.0;21.08194;59;1014.131;25.2408
2023-12-27 00:00:00.0;22.95556;62;1007.927;23.13288
2023-12-28 00:00:00.0;26.92837;69;1000.652;11.3703
2023-12-29 00:00:00.0;25.56389;69;1007.69;15.93312
2023-12-30 00:00:00.0;19.72639;64;1014.707;24.67626
2023-12-31 00:00:00.0;22.27708;54;1011.253;17.43865
2024-01-01 00:00:00.0;24.12986;65;1008.236;23.73768
2024-01-02 00:00:00.0;24.86597;69;1008.1;22.08564
2024-01-03 00:00:00.0;23.77639;80;1010.3;19.51608
2024-01-04 00:00:00.0;25.19583;74;1010.425;22.17318
2024-01-05 00:00:00.0;26.64723;69;1007.956;22.41504
2024-01-06 00:00:00.0;26.16875;76;1004.803;9.393358
2024-01-07 00:00:00.0;23.98125;87;1003.51;8.732522
2024-01-08 00:00:00.0;24.02083;77;1004.746;21.48582
2024-01-09 00:00:00.0;26.38473;76;1005.771;18.85392
2024-01-10 00:00:00.0;26.6375;74;1005.654;15.432
2024-01-11 00:00:00.0;26.01945;68;1010.937;22.41282
2024-01-12 00:00:00.0;22.69305;62;1011.718;22.02234
2024-01-13 00:00:00.0;25.31111;64;1007.435;23.59704
2024-01-14 00:00:00.0;25.79444;63;1005.791;19.9215
2024-01-15 00:00:00.0;23.20347;57;1005.741;24.47562
2024-01-16 00:00:00.0;22.05694;87;1006.366;7.73052
